HS 2012 Product Code,HS 2012 Product Description,HS 1996 Product Code,HS 1996 Product Description
283911,Sodium metasilicates,283911,Of sodium:-- Sodium metasilicates
283919,Other,283919,Of sodium:-- Other
283990,Other,283990,Other
284011,Anhydrous,284011,Disodium tetraborate (refined borax):-- Anhydrous
284019,Other,284019,Disodium tetraborate (refined borax):-- Other
284020,Other borates,284020,Other borates
284030,Peroxoborates (perborates),284030,Peroxoborates (perborates)
284130,Sodium dichromate,284130,Sodium dichromate
284150,Other chromates and dichromates; peroxochromates,284150,Other chromates and dichromates; peroxochromates
284161,Potassium permanganate,284161,"Manganites, manganates and permanganates:-- Potassium permanganate"
284169,Other,284169,"Manganites, manganates and permanganates:-- Other"
284170,Molybdates,284170,Molybdates
284180,Tungstates (wolframates),284180,Tungstates (wolframates)
284190,Other,284190,Other
284210,"Double or complex silicates, including aluminosilicates whether or not chemically defined",382490,Other
284290,Other,284290,Other
284310,Colloidal precious metals,284310,Colloidal precious metals
284321,Silver nitrate,284321,Silver compounds:-- Silver intrate
284329,Other,284329,Silver compounds:-- Other
284330,Gold compounds,284330,Gold compounds
284390,Other compounds; amalgams,284390,Other compounds; amalgams
284410,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",284410,"Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds"
284420,"Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products",284420,"Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products"
284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products",284430,"Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products"
284440,"Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues",284440,"Radioactive elements and isotopes and compounds other than those of subheading No. 2844.10, 2844.20 or 2844.30; alloys, dispersions (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds; r"
284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors,284450,Spent (irradiated) fuel elements (cartridges) of nuclear reactors
284510,Heavy water (deuterium oxide),284510,Heavy water (deuterium oxide)
284590,Other,284590,Other
284610,Cerium compounds,284610,Cerium compounds
284690,Other,284690,Other
284700,"Hydrogen peroxide, whether or not solidified with urea.",284700,"Hydrogen peroxyde, whether or not solidified with urea"
284800,"Phosphides, whether or not chemically defined, excluding ferrophosphorus.",284800,"Phosphides, whether or not chemically defined, excluding ferrophosphorus"
284910,Of calcium,284910,Of calcium
284920,Of silicon,284920,Of silicon
284990,Other,284990,Other
285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 28.49.",285000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading No. 28.49"
285210,Chemically defined,382490,Other
285290,Other,382490,Other
285300,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals.",285100,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals"
290110,Saturated,290110,Saturated
290121,Ethylene,290121,Unsaturated:-- Ethylene
290122,Propene (propylene),290122,Unsaturated:-- propene (propylene)
290123,Butene (butylene) and isomers thereof,290123,Unsaturated:-- Butene (butylene) and isomers thereo
290124,"Buta-1,3-diene and isoprene",290124,"Unsaturated:-- Buta-1,3-diene and isoprene"
290129,Other,290129,Unsaturated:-- Other
290211,Cyclohexane,290211,"Cyclanes, cyclenes and cycloterpenes:-- Cyclohexane"
290219,Other,290219,"Cyclanes, cyclenes and cycloterpenes:-- Other"
290220,Benzene,290220,Benzene
290230,Toluene,290230,Toluene
290241,o-Xylene,290241,Xylenes:-- o-Xylene
290242,m-Xylene,290242,Xylenes:-- m-Xylene
290243,p-Xylene,290243,Xylenes:-- p-Xylene
290244,Mixed xylene isomers,290244,Xylenes:-- Mixed xylene isomers
290250,Styrene,290250,Styrene
290260,Ethylbenzene,290260,Ethylbenzene
290270,Cumene,290270,Cumene
290290,Other,290290,Other
290311,Chloromethane (methyl chloride) and chloroethane (ethyl chloride),290311,Saturated chlorinated derivatives of acyclic hydrocarbons:-- Chloromethane (methyl chloride) and chloroethane (ethylchloride)
290312,Dichloromethane (methylene chloride),290312,Saturated chlorinated derivatives of acyclic hydrocarbons:-- Dichloromethane (methylene chloride)
290313,Chloroform (trichloromethane),290313,Saturated chlorinated derivatives of acyclic hydrocarbons:-- Chloroforme (trichloromethane)
290314,Carbon tetrachloride,290314,Saturated chlorinated derivatives of acyclic hydrocarbons:-- Carbon tetrachloride
290315,"Ethylene dichloride (ISO) (1,2-dichloroethane)",290315,"Saturated chlorinated derivatives of acyclic hydrocarbons:-- 1,2-Dichloroethane (ethylene dichloride)"
290319,Other,290319,Saturated chlorinated derivatives of acyclic hydrocarbons:-- Other
290321,Vinyl chloride (chloroethylene),290321,Unsaturated chlorinated derivatives of acyclic hydrocarbons:-- Vinyl chloride (chloroethylene)
290322,Trichloroethylene,290322,Unsaturated chlorinated derivatives of acyclic hydrocarbons:-- Trichlolroethylene
290323,Tetrachloroethylene (perchloroethylene),290323,Unsaturated chlorinated derivatives of acyclic hydrocarbons:-- Tetrachloroethylene (perchloroethylene)
290329,Other,290329,Unsaturated chlorinated derivatives of acyclic hydrocarbons:-- Other
290331,"Ethylene dibromide (ISO) (1,2-dibromoethane)",290330,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons"
290339,Other,290330,"Fluorinated, brominated or iodinated derivatives of acyclic hydrocarbons"
290371,Chlorodifluoromethane,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290372,Dichlorotrifluoroethanes,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290373,Dichlorofluoroethanes,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290374,Chlorodifluoroethanes,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290375,Dichloropentafluoropropanes,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",290346,"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes"
290377,"Other, perhalogenated only with fluorine and chlorine",290345,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other derivatives perhalogenated only with fluorine and chlorine
290378,Other perhalogenated derivatives,290347,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other perhalogenated derivatives
290379,Other,290349,Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens:-- Other
290381,"1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)",290351,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons:-- 1,2,3,4,5,6-Hexachlorocyclohexane"
290382,"Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)",290359,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons:-- Other"
290389,Other,290359,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons:-- Other"
290391,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene",290361,"Halogenated derivatives of aromatic hydrocarbons:-- Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene"
290392,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)",290362,"Halogenated derivatives of aromatic hydrocarbons:-- Hexachlorobenzene and DDT (1,1,1-trichloro-2,2-bis (p-chlorophenyl)ethane)"
290399,Other,290369,Halogenated derivatives of aromatic hydrocarbons:-- Other
290410,"Derivatives containing only sulpho groups, their salts and ethyl esters",290410,"Derivatives containing only sulpho groups, their salts and ethyl esters"
290420,Derivatives containing only nitro or only nitroso groups,290420,Derivatives containing only nitro or only mitroso groups
290490,Other,290490,Other
290511,Methanol (methyl alcohol),290511,Saturated monohydric alcohols:-- Methanol (methyl alcohol)
290512,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),290512,Saturated monohydric alcohols:-- Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)
290513,Butan-1-ol (n-butyl alcohol),290513,Saturated monohydric alcohols:-- Butan-1-ol (n-butyl alcohol)
290514,Other butanols,290514,Saturated monohydric alcohols:-- Other butanols
290516,Octanol (octyl alcohol) and isomers thereof,290516,Saturated monohydric alcohols:-- Octanol (octyl alcohol) and isomers thereof
290517,"Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)",290517,"Saturated monohydric alcohols:-- Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)"
290519,Other,290519,Saturated monohydric alcohols:-- Other
290522,Acyclic terpene alcohols,290522,Unsaturated monohydric alcohols:-- Acyclic terpene alcohols
290529,Other,290529,Unsaturated monohydric alcohols:-- Other
290531,Ethylene glycol (ethanediol),290531,Diols:-- Ethylene glycol (ethanediol)
290532,"Propylene glycol (propane-1,2-diol)",290532,"Diols:-- Propylene glycol (propane-1,2-diol)"
290539,Other,290539,Diols:-- Other
290541,"2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)",290541,"Other polyhydric alcohols:-- 2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)"
290542,Pentaerythritol,290542,Other polyhydric alcohols:-- Pentaerythritol
290543,Mannitol,290543,Other polyhydric alcohols:-- Mannitol
290544,D-glucitol (sorbitol),290544,Other polyhydric alcohols:-- D-glucitol (sorrbitol)
290545,Glycerol,290545,Other polyhydric alcohols:-- Glycerol
290549,Other,290549,Other polyhydric alcohols:-- Other
290551,Ethchlorvynol (INN),290550,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols"
290559,Other,290550,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols"
290611,Menthol,290611,"Cyclanic, cyclenic or cycloterpenic:-- Menthol"
290612,"Cyclohexanol, methylcyclohexanols and dimethylcyclo-hexanols",290612,"Cyclanic, cyclenic or cycloterpenic:-- Cyclohexanol, methylcyclohexanols and dimethylcyclohexanols"
290613,Sterols and inositols,290613,"Cyclanic, cyclenic or cycloterpenic:-- Sterols and inositols"
290619,Other,290619,"Cyclanic, cyclenic or cycloterpenic:-- Other"
290621,Benzyl alcohol,290621,Aromatic:-- Benzyl alcohol
290629,Other,290629,Aromatic:-- Other
290711,Phenol (hydroxybenzene) and its salts,290711,Monophenols :-- Phenol (hydroxybenzene) and its salts
290712,Cresols and their salts,290712,Monophenols :-- Cresols and their salts
290713,"Octylphenol, nonylphenol and their isomers; salts thereof",290713,"Monophenols :-- Octylphenol, nonylphenol and their isomers; salts thereof"
290715,Naphthols and their salts,290715,Monophenols :-- Naphthols and their salts
290719,Other,290719,Monophenols :-- Other
290721,Resorcinol and its salts,290721,Polyphenols :-- Resorcinol and its salts
290722,Hydroquinone (quinol) and its salts,290722,Polyphenols :-- Hydroquinone (quinol) and its salts
290723,"4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",290723,"Polyphenols :-- 4,4'-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts"
290729,Other,290729,Polyphenols :-- Other
290811,Pentachlorophenol (ISO),290810,Derivatives containing only halogen substituents and their salts
290819,Other,290810,Derivatives containing only halogen substituents and their salts
290891,Dinoseb (ISO) and its salts,290890,Other
290892,"4,6-Dinitro-o-cresol (DNOC (ISO)) and its salts",290890,Other
290899,Other,290890,Other
290911,Diethyl ether,290911,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Diethyl ether"
290919,Other,290919,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Other"
290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",290920,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",290930,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290941,"2,2'-Oxydiethanol (diethylene glycol, digol)",290941,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- 2,2'-Oxydiethanol (diethylene glycol, digol)"
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,290943,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Monobutyl ethers of ethylene glycol or of diethylene glycol"
290944,Other monoalkylethers of ethylene glycol or of diethylene glycol,290944,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Other monoalkylethers of ethylene glycol or of diethylene glycol"
290949,Other,290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives :-- Other"
290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",290950,"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives"
290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",290960,"Alcohol peroxides, ether peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives"
291010,Oxirane (ethylene oxide),291010,Oxirane (ethylene oxide)
291020,Methyloxirane (propylene oxide),291020,Methyloxirane (propylene oxide)
291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)",291030,"1-Chloro-2,3-epoxypropane (epichlorohydrin)"
291040,"Dieldrin (ISO, INN)",291090,Other
291090,Other,291090,Other
291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",291100,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives."
291211,Methanal (formaldehyde),291211,Acyclic aldehydes without other oxygen function :-- Methanal (formaldehyde)
291212,Ethanal (acetaldehyde),291212,Acyclic aldehydes without other oxygen function :-- Ethanal (acetaldehyde)
291219,Other,291219,Acyclic aldehydes without other oxygen function :-- Other
291221,Benzaldehyde,291221,Cyclic aldehydes without other oxygen function :-- Benzaldehyde
291229,Other,291229,Cyclic aldehydes without other oxygen function :-- Other
291241,Vanillin (4-hydroxy-3-methoxybenzaldehyde),291241,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function :-- Vanillin (4-hydroxy-3-methoxybenzaldehyde)"
291242,Ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde),291242,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function :-- Ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
291249,Other,291249,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function :-- Other"
291250,Cyclic polymers of aldehydes,291250,Cyclic polymers of aldehydes
291260,Paraformaldehyde,291260,Paraformaldehyde
291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.",291300,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading No. 29.12."
291411,Acetone,291411,Acyclic ketones without other oxygen function :-- Acetone
291412,Butanone (methyl ethyl ketone),291412,Acyclic ketones without other oxygen function :-- Butanone (methyl ethyl ketone)
291413,4-Methylpentan-2-one (methyl isobutyl ketone),291413,Acyclic ketones without other oxygen function :-- 4-Methylpentan-2-one (methyl isobutyl ketone)
291419,Other,291419,Acyclic ketones without other oxygen function :-- Other
291422,Cyclohexanone and methylcyclohexanones,291422,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function :-- Cyclohexanone and methylcyclohexanones"
291423,Ionones and methylionones,291423,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function :-- Ionones and methylionones"
291429,Other,291429,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function :-- Other"
291431,Phenylacetone (phenylpropan-2-one),291431,Aromatic ketones without other oxygen function :-- Phenylacetone (phenylpropan-2-one)
291439,Other,291439,Aromatic ketones without other oxygen function :-- Other
291440,Ketone-alcohols and ketone-aldehydes,291440,Ketone-alcohols and ketone-aldehydes
291450,Ketone-phenols and ketones with other oxygen function,291450,Ketone-phenols and ketones with other oxygen function
291461,Anthraquinone,291461,Quinones :-- Anthraquinone
291469,Other,291469,Quinones :-- Other
291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives",291470,"Halogenated, sulphonated, nitrated or nitrosated derivatives"
291511,Formic acid,291511,"Formic acid, its salts and esters :-- Formic acid"
291512,Salts of formic acid,291512,"Formic acid, its salts and esters :-- Salts of formic acid"
291513,Esters of formic acid,291513,"Formic acid, its salts and esters :-- Esters of formic acid"
291521,Acetic acid,291521,Acetic acid and its salts; acetic anhydride :-- Acetic acid
291524,Acetic anhydride,291524,Acetic acid and its salts; acetic anhydride :-- Acetic anhydride
291529,Other,291529,Acetic acid and its salts; acetic anhydride :-- Other
291531,Ethyl acetate,291531,Esters of acetic acid :-- Ethyl acetate
291532,Vinyl acetate,291532,Esters of acetic acid :-- Vinyl acetate
291533,n-Butyl acetate,291533,Esters of acetic acid :-- n-Butyl acetate
291536,Dinoseb (ISO) acetate,291539,Esters of acetic acid :-- Other
291539,Other,291539,Esters of acetic acid :-- Other
291540,"Mono-, di- or trichloroacetic acids, their salts and esters",291540,"Mono-, di- or trichloroacetic acids, their salts and esters"
291550,"Propionic acid, its salts and esters",291550,"Propionic acid, its salts and esters"
291560,"Butanoic acids, pentanoic acids, their salts and esters",291560,"Butyric acids, valeric acids, their salts and esters"
291570,"Palmitic acid, stearic acid, their salts and esters",291570,"Palmitic acid, stearic acid, their salts and esters"
291590,Other,291590,Other
291611,Acrylic acid and its salts,291611,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Acrylic acid and its salts"
291612,Esters of acrylic acid,291612,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Esters of acrylic acid"
291613,Methacrylic acid and its salts,291613,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Methacrylic acid and its salts"
291614,Esters of methacrylic acid,291614,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Esters of methacrylic acid"
291615,"Oleic, linoleic or linolenic acids, their salts and esters",291615,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Oleic, linoleic or linolenic acids, their salts and esters"
291616,Binapacryl (ISO),291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291619,Other,291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291631,"Benzoic acid, its salts and esters",291631,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Benzoic acid, its salts and esters"
291632,Benzoyl peroxide and benzoyl chloride,291632,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Benzoyl peroxide and benzoyl chloride"
291634,Phenylacetic acid and its salts,291634,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Phenylacetic acid and its salts"
291639,Other,291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291711,"Oxalic acid, its salts and esters",291711,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Oxalic acid, its salts and esters"
291712,"Adipic acid, its salts and esters",291712,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Adipic acid, its salts and esters"
291713,"Azelaic acid, sebacic acid, their salts and esters",291713,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Azelaic acid, sebacic acid, their salts and esters"
291714,Maleic anhydride,291714,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Maleic anhydride"
291719,Other,291719,"Acyclic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291720,"Cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291732,Dioctyl orthophthalates,291732,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Dioctyl orthophthalates"
291733,Dinonyl or didecyl orthophthalates,291733,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Dinonyl or didecyl orthophthalates"
291734,Other esters of orthophthalic acid,291734,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other esters of orthophthalic acid"
291735,Phthalic anhydride,291735,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Phthalic anhydride"
291736,Terephthalic acid and its salts,291736,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Terephthalic acid and its salts"
291737,Dimethyl terephthalate,291737,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Dimethyl terephthalate"
291739,Other,291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291811,"Lactic acid, its salts and esters",291811,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Lactic acid, its salts and esters"
291812,Tartaric acid,291812,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Tartaric acid"
291813,Salts and esters of tartaric acid,291813,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Salts and esters of tartaric acid"
291814,Citric acid,291814,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Citric acid"
291815,Salts and esters of citric acid,291815,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Salts and esters of citric acid"
291816,"Gluconic acid, its salts and esters",291816,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Gluconic acid, its salts and esters"
291818,Chlorobenzilate (ISO),291819,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291819,Other,291819,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291821,Salicylic acid and its salts,291821,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Salicylic acid and its salts"
291822,"O-Acetylsalicylic acid, its salts and esters",291822,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- O-Acetylsalicylic acid, its salts and esters"
291823,Other esters of salicylic acid and their salts,291823,Other esters of salicylic acid and their salts
291829,Other,291829,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Other"
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives"
291891,"2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",291890,Other
291899,Other,291890,Other
291910,"Tris(2,3-dibromopropyl) phosphate",291900,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives."
291990,Other,291900,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives."
292011,Parathion (ISO) and parathion-methyl (ISO) (methyl-parathion),292010,"Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives"
292019,Other,292010,"Thiophosphoric esters (phosphorothioates) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives"
292090,Other,292090,Other
292111,"Methylamine, di- or trimethylamine and their salts",292111,"Acyclic monoamines and their derivatives; salts thereof :-- Methylamine, di- or trimethylamine and their salts"
292119,Other,292119,Acyclic monoamines and their derivatives; salts thereof :-- Other
292121,Ethylenediamine and its salts,292121,Acyclic polyamines and their derivatives; salts thereof :-- Ethylenediamine and its salts
292122,Hexamethylenediamine and its salts,292122,Acyclic polyamines and their derivatives; salts thereof :-- Hexamethylenediamine and its salts
292129,Other,292129,Acyclic polyamines and their derivatives; salts thereof :-- Other
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof"
292141,Aniline and its salts,292141,Aromatic monoamines and their derivatives; salts thereof : -- Aniline and its salts
292142,Aniline derivatives and their salts,292142,Aromatic monoamines and their derivatives; salts thereof : -- Aniline derivatives and their salts
292143,Toluidines and their derivatives; salts thereof,292143,Aromatic monoamines and their derivatives; salts thereof : -- Toluidines and their derivatives; salts thereof
292144,Diphenylamine and its derivatives; salts thereof,292144,Aromatic monoamines and their derivatives; salts thereof : -- Diphenylamine and its derivatives; salts thereof
292145,"1-Naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta- naphthylamine) and their derivatives; salts thereof",292145,"Aromatic monoamines and their derivatives; salts thereof : -- 1-Naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta-naphthylamine) and their derivatives; salts thereof"
292146,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (INN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof",292149,Aromatic monoamines and their derivatives; salts thereof :-- Other
292149,Other,292149,Aromatic monoamines and their derivatives; salts thereof :-- Other
292151,"o-, m-, p-Phenylenediamine, diaminotoluenes, and their derivatives; salts thereof",292151,"Aromatic polyamines and their derivatives; salts thereof :-- o-, m-, p-Phenylenediamine, diaminotoluenes, and their derivatives; salts thereof"
292159,Other,292159,Aromatic polyamines and their derivatives; salts thereof :-- Other
292211,Monoethanolamine and its salts,292211,"Amino-alcohols, their ethers and esters, other than those containing more than one kind of oxygen function; salts thereof :-- Monoethanolamine and its salts"
292212,Diethanolamine and its salts,292212,"Amino-alcohols, their ethers and esters, other than those containing more than one kind of oxygen function; salts thereof :-- Diethanolamine and its salts"
